SITE_ID,Week,Year,DATEOFF,Ca,HNO3,K,Mg,Na,NH4,NO3,SO2,SO4,TNO3,DATEON
"ABT147","1","2022","1/11/2022 8:00:00 AM","0.078","0.568","0.053","0.033","0.386","0.468","1.466","0.462","0.652","2.024","1/04/2022"
"ABT147","2","2022","1/18/2022 8:00:00 AM","0.107","0.629","0.063","0.051","0.477","0.38","1.506","0.62","0.732","2.125","1/11/2022"
"ABT147","3","2022","1/25/2022 8:00:00 AM","0.098","0.618","0.076","0.048","0.7","0.847","2.338","0.742","0.991","2.946","1/18/2022"
"ABT147","4","2022","2/01/2022 8:00:00 AM","0.049","0.884","0.051","0.017","0.36","0.502","1.442","0.65","0.72","2.312","1/25/2022"
"ABT147","5","2022","2/08/2022 8:00:00 AM","-","-","-","-","-","-","-","-","-","-","2/01/2022"
"ABT147","6","2022","2/15/2022 8:00:00 AM","0.134","0.663","0.062","0.037","0.325","0.382","0.917","0.416","0.897","1.569","2/08/2022"
"ABT147","7","2022","2/22/2022 8:00:00 AM","0.08","0.509","0.056","0.069","0.664","0.328","1.159","0.44","0.708","1.66","2/15/2022"
"ABT147","8","2022","3/01/2022 8:00:00 AM","0.07","0.516","0.052","0.034","0.427","0.285","0.781","0.309","0.779","1.289","2/22/2022"
"ABT147","9","2022","3/08/2022 8:00:00 AM","0.116","0.714","0.046","0.046","0.374","0.412","1.292","0.316","0.881","1.994","3/01/2022"
"ABT147","10","2022","3/15/2022 8:00:00 AM","0.097","1.066","0.044","0.024","0.331","0.458","1.396","0.45","0.706","2.445","3/08/2022"
"ABT147","11","2022","3/22/2022 8:00:00 AM","0.12","1.158","0.05","0.029","0.21","0.2","0.389","0.252","0.866","1.528","3/15/2022"
"ABT147","12","2022","3/29/2022 8:00:00 AM","0.074","0.282","0.023","0.016","0.073","0.124","0.2","0.197","0.359","0.477","3/22/2022"
"ABT147","13","2022","4/05/2022 8:00:00 AM","0.102","0.401","0.041","0.049","0.358","0.173","0.529","0.258","0.661","0.923","3/29/2022"
"ABT147","14","2022","4/12/2022 8:00:00 AM","0.064","0.448","0.034","0.036","0.248","0.16","0.553","0.204","0.539","0.994","4/05/2022"
"ABT147","15","2022","4/19/2022 8:00:00 AM","0.132","0.478","0.035","0.05","0.317","0.176","0.629","0.219","0.558","1.1","4/12/2022"
"ABT147","16","2022","4/26/2022 8:00:00 AM","0.095","0.452","0.043","0.051","0.345","0.194","0.438","0.197","0.587","0.883","4/19/2022"
"ABT147","17","2022","5/03/2022 8:00:00 AM","0.112","0.285","0.035","0.029","0.111","0.223","0.432","0.18","0.537","0.712","4/26/2022"
"ABT147","18","2022","5/10/2022 8:00:00 AM","0.092","0.334","0.055","0.071","0.55","0.216","0.476","0.305","0.682","0.805","5/03/2022"
"ABT147","19","2022","5/17/2022 8:00:00 AM","0.068","0.34","0.046","0.043","0.313","0.147","0.587","0.195","0.608","0.921","5/10/2022"
"ABT147","20","2022","5/24/2022 8:00:00 AM","0.094","0.787","0.073","0.027","0.09","0.325","0.187","0.329","0.898","0.962","5/17/2022"
"ABT147","21","2022","5/31/2022 8:00:00 AM","0.075","0.287","0.074","0.053","0.353","0.186","0.506","0.216","0.671","0.788","5/24/2022"
"ABT147","22","2022","6/07/2022 8:00:00 AM","0.134","0.716","0.07","0.044","0.182","0.182","0.424","0.168","0.556","1.129","5/31/2022"
"ABT147","23","2022","6/14/2022 8:00:00 AM","0.101","0.423","0.053","0.041","0.219","0.186","0.485","0.216","0.575","0.901","6/07/2022"
"ABT147","24","2022","6/21/2022 8:00:00 AM","0.08","0.332","0.035","0.032","0.169","0.15","0.363","0.157","0.429","0.69","6/14/2022"
"ABT147","25","2022","6/28/2022 8:00:00 AM","0.095","0.69","0.063","0.054","0.371","0.211","0.515","0.325","0.843","1.194","6/21/2022"
"ABT147","26","2022","7/05/2022 8:00:00 AM","0.117","0.647","0.125","0.042","0.141","0.23","0.377","0.375","0.638","1.013","6/28/2022"
"ABT147","27","2022","7/12/2022 8:00:00 AM","0.09","0.483","0.145","0.059","0.322","0.149","0.63","0.342","0.566","1.105","7/05/2022"
"ABT147","28","2022","7/19/2022 8:00:00 AM","0.073","0.661","0.05","0.033","0.181","0.208","0.295","0.188","0.754","0.945","7/12/2022"
"ABT147","29","2022","7/26/2022 8:00:00 AM","0.183","1.025","0.063","0.065","0.272","0.421","0.49","0.474","1.377","1.499","7/19/2022"
"ABT147","30","2022","8/02/2022 8:00:00 AM","0.111","0.793","0.035","0.026","0.057","0.361","0.428","0.244","0.805","1.208","7/26/2022"
"ABT147","31","2022","8/09/2022 8:00:00 AM","0.109","1.187","0.053","0.05","0.291","0.349","0.494","0.578","1.189","1.662","8/02/2022"
"ABT147","32","2022","8/16/2022 8:00:00 AM","0.06","0.555","0.027","0.02","0.094","0.201","0.229","0.288","0.536","0.775","8/09/2022"
"ABT147","33","2022","8/23/2022 8:00:00 AM","0.069","0.632","0.041","0.022","0.088","0.253","0.278","0.295","0.596","0.9","8/16/2022"
"ABT147","34","2022","8/30/2022 8:00:00 AM","0.068","0.617","0.05","0.028","0.164","0.337","0.373","0.24","0.966","0.98","8/23/2022"
"ABT147","35","2022","9/06/2022 8:00:00 AM","0.064","0.299","0.043","0.028","0.169","0.193","0.409","0.314","0.432","0.703","8/30/2022"
"ABT147","36","2022","9/13/2022 8:00:00 AM","0.064","0.389","0.053","0.025","0.139","0.207","0.372","0.183","0.419","0.755","9/06/2022"
"ABT147","37","2022","9/20/2022 8:00:00 AM","0.094","0.437","0.063","0.027","0.125","0.204","0.412","0.205","0.611","0.842","9/13/2022"
"ABT147","38","2022","9/27/2022 8:00:00 AM","0.067","0.327","0.051","0.026","0.159","0.153","0.376","0.268","0.421","0.698","9/20/2022"
"ABT147","39","2022","10/04/2022 8:00:00 AM","0.075","0.281","0.052","0.063","0.496","0.144","0.32","0.185","0.434","0.597","9/27/2022"
"ABT147","40","2022","10/11/2022 8:00:00 AM","0.224","0.255","0.05","0.06","0.182","0.195","0.639","0.191","0.502","0.889","10/04/2022"
"ABT147","41","2022","10/18/2022 8:00:00 AM","0.268","0.392","0.068","0.066","0.215","0.255","0.805","0.213","0.776","1.191","10/11/2022"
"ABT147","42","2022","10/25/2022 8:00:00 AM","0.2","0.622","0.05","0.052","0.156","0.264","0.986","0.327","0.475","1.598","10/18/2022"
"ABT147","43","2022","11/01/2022 8:00:00 AM","0.049","0.484","0.05","0.038","0.281","0.184","0.791","0.282","0.332","1.267","10/25/2022"
"ABT147","44","2022","11/08/2022 8:00:00 AM","0.101","0.428","0.076","0.156","1.265","0.11","0.467","0.245","0.818","0.889","11/01/2022"
"ABT147","45","2022","11/15/2022 8:00:00 AM","0.072","0.248","0.05","0.074","0.588","0.106","0.482","0.249","0.456","0.726","11/08/2022"
"ABT147","46","2022","11/22/2022 8:00:00 AM","0.097","0.772","0.035","0.019","0.067","0.459","0.896","0.427","0.722","1.656","11/15/2022"
"ABT147","47","2022","11/29/2022 8:00:00 AM","0.135","1.019","0.05","0.028","0.115","0.263","0.887","0.443","0.548","1.89","11/22/2022"
"ABT147","48","2022","12/06/2022 8:00:00 AM","0.079","0.371","0.048","0.038","0.26","0.232","0.724","0.235","0.515","1.089","11/29/2022"
